Question_Number,Example_Prompt_Full,Example_Prompt_Question,Example_Prompt_Constraints,Example_Prompt_Header,Algorithm_IO_Examples,Inputs_1,Output_1,Inputs_2,Output_2,Inputs_3,Output_3,Map
1001,"Can you write python code to solve “Grid Illumination”?

There is a 2D grid of size n x n where each cell of this grid has a lamp that is initially turned off. You are given a 2D array of lamp positions lamps, where lamps[i] = [row i, col i ] indicates that the lamp at grid[row i ][col i ] is turned on. Even if the same lamp is listed more than once, it is turned on. When a lamp is turned on, it illuminates its cell and all other cells in the same row, column, or diagonal. You are also given another 2D array queries, where queries[j] = [row j, col j ]. For the j th query, determine whether grid[row j ][col j ] is illuminated or not. After answering the j th query, turn off the lamp at grid[row j ][col j ] and its 8 adjacent lamps if they exist. A lamp is adjacent if its cell shares either a side or corner with grid[row j ][col j ]. Return an array of integers ans, where ans[j] should be 1 if the cell in the j th query was illuminated, or 0 if the lamp was not.

Constraints:
1 <= n <= 10 9 0 <= lamps.length <= 20000 0 <= queries.length <= 20000 lamps[i].length == 2 0 <= row i, col i < n queries[j].length == 2 0 <= row j, col j < n

def grid illumination(…):","There is a 2D grid of size n x n where each cell of this grid has a lamp that is initially turned off. You are given a 2D array of lamp positions lamps, where lamps[i] = [row i, col i ] indicates that the lamp at grid[row i ][col i ] is turned on. Even if the same lamp is listed more than once, it is turned on. When a lamp is turned on, it illuminates its cell and all other cells in the same row, column, or diagonal. You are also given another 2D array queries, where queries[j] = [row j, col j ]. For the j th query, determine whether grid[row j ][col j ] is illuminated or not. After answering the j th query, turn off the lamp at grid[row j ][col j ] and its 8 adjacent lamps if they exist. A lamp is adjacent if its cell shares either a side or corner with grid[row j ][col j ]. Return an array of integers ans, where ans[j] should be 1 if the cell in the j th query was illuminated, or 0 if the lamp was not.","1 <= n <= 10 9 0 <= lamps.length <= 20000 0 <= queries.length <= 20000 lamps[i].length == 2 0 <= row i, col i < n queries[j].length == 2 0 <= row j, col j < n",def grid illumination(…):,"Example 1:Input: n = 5, lamps = [[0,0],[4,4]], queries = [[1,1],[1,0]] Output: [1,0] Explanation: We have the initial grid with all lamps turned off. In the above picture we see the grid after turning on the lamp at grid[0][0] then turning on the lamp at grid[4][4]. The 0 th query asks if the lamp at grid[1][1] is illuminated or not (the blue square). It is illuminated, so set ans[0] = 1. Then, we turn off all lamps in the red square. The 1 st query asks if the lamp at grid[1][0] is illuminated or not (the blue square). It is not illuminated, so set ans[1] = 0. Then, we turn off all lamps in the red rectangle. 



Example 2: Input: n = 5, lamps = [[0,0],[4,4]], queries = [[1,1],[1,1]] Output: [1,1] 



Example 3: Input: n = 5, lamps = [[0,0],[0,4]], queries = [[0,4],[0,1],[1,4]] Output: [1,1,0]","[5, [[0, 0], [4, 4]], [[1, 1], [1, 0]]]","[1, 0]","[5, [[0, 0], [4, 4]], [[1, 1], [1, 1]]]","[1, 1]","[5, [[0, 0], [0, 4]], [[0, 4], [0, 1], [1, 4]]]","[1, 1, 0]","[[5, [[0, 0], [4, 4]], [[1, 1], [1, 0]]], [5, [[0, 0], [4, 4]], [[1, 1], [1, 1]]], [5, [[0, 0], [0, 4]], [[0, 4], [0, 1], [1, 4]]]]: [[1, 0], [1, 1], [1, 1, 0]]"
1003,"Can you write python code to solve “Check If Word Is Valid After Substitutions”?

Given a string s, determine if it is valid. A string s is valid if, starting with an empty string t = """", you can transform t into s after performing the following operation any number of times : Insert string ""abc"" into any position in t. More formally, t becomes t left + ""abc"" + t right, where t == t left + t right. Note that t left and t right may be empty. Return true if s is a valid string, otherwise, return false.

Constraints:
1 <= s.length <= 2 * 10 4 s consists of letters 'a', 'b', and 'c'

def check if word is valid after substitutions(…):","Given a string s, determine if it is valid. A string s is valid if, starting with an empty string t = """", you can transform t into s after performing the following operation any number of times : Insert string ""abc"" into any position in t. More formally, t becomes t left + ""abc"" + t right, where t == t left + t right. Note that t left and t right may be empty. Return true if s is a valid string, otherwise, return false.","1 <= s.length <= 2 * 10 4 s consists of letters 'a', 'b', and 'c'",def check if word is valid after substitutions(…):,"Example 1:Input: s = ""aabcbc"" Output: true Explanation: """" -> "" abc "" -> ""a abc bc"" Thus, ""aabcbc"" is valid. 



Example 2: Input: s = ""abcabcababcc"" Output: true Explanation: """" -> "" abc "" -> ""abc abc "" -> ""abcabc abc "" -> ""abcabcab abc c"" Thus, ""abcabcababcc"" is valid. 



Example 3: Input: s = ""abccba"" Output: false Explanation: It is impossible to get ""abccba"" using the operation.","[""aabcbc""]",true,"[""abcabcababcc""]",true,"[""abccba""]",false,"[['aabcbc'], ['abcabcababcc'], ['abccba']]: [True, True, False]"
1005,"Can you write python code to solve “Maximize Sum Of Array After K Negations”?

Given an integer array nums and an integer k, modify the array in the following way: choose an index i and replace nums[i] with -nums[i]. You should apply this process exactly k times. You may choose the same index i multiple times. Return the largest possible sum of the array after modifying it in this way.

Constraints:
1 <= nums.length <= 10 4 -100 <= nums[i] <= 100 1 <= k <= 10 4

def maximize sum of array after k negations(…):","Given an integer array nums and an integer k, modify the array in the following way: choose an index i and replace nums[i] with -nums[i]. You should apply this process exactly k times. You may choose the same index i multiple times. Return the largest possible sum of the array after modifying it in this way.",1 <= nums.length <= 10 4 -100 <= nums[i] <= 100 1 <= k <= 10 4,def maximize sum of array after k negations(…):,"Example 1:Input: nums = [4,2,3], k = 1 Output: 5 Explanation: Choose index 1 and nums becomes [4,-2,3]. 



Example 2: Input: nums = [3,-1,0,2], k = 3 Output: 6 Explanation: Choose indices (1, 2, 2) and nums becomes [3,1,0,2]. 



Example 3: Input: nums = [2,-3,-1,5,-4], k = 2 Output: 13 Explanation: Choose indices (1, 4) and nums becomes [2,3,-1,5,4].","[[4, 2, 3], 1]",5,"[[3, -1, 0, 2], 3]",6,"[[2, -3, -1, 5, -4], 2]",13,"[[[4, 2, 3], 1], [[3, -1, 0, 2], 3], [[2, -3, -1, 5, -4], 2]]: [5, 6, 13]"
1009,"Can you write python code to solve “Complement of Base 10 Integer”?

The complement of an integer is the integer you get when you flip all the 0 's to 1 's and all the 1 's to 0 's in its binary representation. For example, The integer 5 is ""101"" in binary and its complement is ""010"" which is the integer 2. Given an integer n, return its complement.

Constraints:
0 <= n < 10 9 Note: This question is the same as 476: https://leetcode.com/problems/number-complement/

def complement of base 10 integer(…):","The complement of an integer is the integer you get when you flip all the 0 's to 1 's and all the 1 's to 0 's in its binary representation. For example, The integer 5 is ""101"" in binary and its complement is ""010"" which is the integer 2. Given an integer n, return its complement.",0 <= n < 10 9 Note: This question is the same as 476: https://leetcode.com/problems/number-complement/,def complement of base 10 integer(…):,"Example 1:Input: n = 5 Output: 2 Explanation: 5 is ""101"" in binary, with complement ""010"" in binary, which is 2 in base-10. 



Example 2: Input: n = 7 Output: 0 Explanation: 7 is ""111"" in binary, with complement ""000"" in binary, which is 0 in base-10. 



Example 3: Input: n = 10 Output: 5 Explanation: 10 is ""1010"" in binary, with complement ""0101"" in binary, which is 5 in base-10.",[5],2,[7],0,[10],5,"[[5], [7], [10]]: [2, 0, 5]"
1011,"Can you write python code to solve “Capacity To Ship Packages Within D Days”?

A conveyor belt has packages that must be shipped from one port to another within days days. The i th package on the conveyor belt has a weight of weights[i]. Each day, we load the ship with packages on the conveyor belt (in the order given by weights ). We may not load more weight than the maximum weight capacity of the ship. Return the least weight capacity of the ship that will result in all the packages on the conveyor belt being shipped within days days.

Constraints:
1 <= days <= weights.length <= 5 * 10 4 1 <= weights[i] <= 500

def capacity to ship packages within d days(…):","A conveyor belt has packages that must be shipped from one port to another within days days. The i th package on the conveyor belt has a weight of weights[i]. Each day, we load the ship with packages on the conveyor belt (in the order given by weights ). We may not load more weight than the maximum weight capacity of the ship. Return the least weight capacity of the ship that will result in all the packages on the conveyor belt being shipped within days days.",1 <= days <= weights.length <= 5 * 10 4 1 <= weights[i] <= 500,def capacity to ship packages within d days(…):,"Example 1:Input: weights = [1,2,3,4,5,6,7,8,9,10], days = 5 Output: 15 Explanation: A ship capacity of 15 is the minimum to ship all the packages in 5 days like this: 1st day: 1, 2, 3, 4, 5 2nd day: 6, 7 3rd day: 8 4th day: 9 5th day: 10 Note that the cargo must be shipped in the order given, so using a ship of capacity 14 and splitting the packages into parts like (2, 3, 4, 5), (1, 6, 7), (8), (9), (10) is not allowed. 



Example 2: Input: weights = [3,2,2,4,1,4], days = 3 Output: 6 Explanation: A ship capacity of 6 is the minimum to ship all the packages in 3 days like this: 1st day: 3, 2 2nd day: 2, 4 3rd day: 1, 4 



Example 3: Input: weights = [1,2,3,1,1], days = 4 Output: 3 Explanation: 1st day: 1 2nd day: 2 3rd day: 3 4th day: 1, 1","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 5]",15,"[[3, 2, 2, 4, 1, 4], 3]",6,"[[1, 2, 3, 1, 1], 4]",3,"[[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 5], [[3, 2, 2, 4, 1, 4], 3], [[1, 2, 3, 1, 1], 4]]: [15, 6, 3]"
1012,"Can you write python code to solve “Numbers With Repeated Digits”?

Given an integer n, return the number of positive integers in the range [1, n] that have at least one repeated digit.

Constraints:
1 <= n <= 10 9

def numbers with repeated digits(…):","Given an integer n, return the number of positive integers in the range [1, n] that have at least one repeated digit.",1 <= n <= 10 9,def numbers with repeated digits(…):,"Example 1:Input: n = 20 Output: 1 Explanation: The only positive number (<= 20) with at least 1 repeated digit is 11. 



Example 2: Input: n = 100 Output: 10 Explanation: The positive numbers (<= 100) with atleast 1 repeated digit are 11, 22, 33, 44, 55, 66, 77, 88, 99, and 100. 



Example 3: Input: n = 1000 Output: 262",[20],1,[100],10,[1000],262,"[[20], [100], [1000]]: [1, 10, 262]"
1013,"Can you write python code to solve “Partition Array Into Three Parts With Equal Sum”?

Given an array of integers arr, return true if we can partition the array into three non-empty parts with equal sums. Formally, we can partition the array if we can find indexes i + 1 < j with (arr[0] + arr[1] +... + arr[i] == arr[i + 1] + arr[i + 2] +... + arr[j - 1] == arr[j] + arr[j + 1] +... + arr[arr.length - 1])

Constraints:
3 <= arr.length <= 5 * 10 4 -10 4 <= arr[i] <= 10 4

def partition array into three parts with equal sum(…):","Given an array of integers arr, return true if we can partition the array into three non-empty parts with equal sums. Formally, we can partition the array if we can find indexes i + 1 < j with (arr[0] + arr[1] +... + arr[i] == arr[i + 1] + arr[i + 2] +... + arr[j - 1] == arr[j] + arr[j + 1] +... + arr[arr.length - 1])",3 <= arr.length <= 5 * 10 4 -10 4 <= arr[i] <= 10 4,def partition array into three parts with equal sum(…):,"Example 1:Input: arr = [0,2,1,-6,6,-7,9,1,2,0,1] Output: true Explanation: 0 + 2 + 1 = -6 + 6 - 7 + 9 + 1 = 2 + 0 + 1 



Example 2: Input: arr = [0,2,1,-6,6,7,9,-1,2,0,1] Output: false 



Example 3: Input: arr = [3,3,6,5,-2,2,5,1,-9,4] Output: true Explanation: 3 + 3 = 6 = 5 - 2 + 2 + 5 + 1 - 9 + 4","[[0, 2, 1, -6, 6, -7, 9, 1, 2, 0, 1]]",true,"[[0, 2, 1, -6, 6, 7, 9, -1, 2, 0, 1]]",false,"[[3, 3, 6, 5, -2, 2, 5, 1, -9, 4]]",true,"[[[0, 2, 1, -6, 6, -7, 9, 1, 2, 0, 1]], [[0, 2, 1, -6, 6, 7, 9, -1, 2, 0, 1]], [[3, 3, 6, 5, -2, 2, 5, 1, -9, 4]]]: [True, False, True]"
1015,"Can you write python code to solve “Smallest Integer Divisible by K”?

Given a positive integer k, you need to find the length of the smallest positive integer n such that n is divisible by k, and n only contains the digit 1. Return the length of n. If there is no such n, return -1. Note: n may not fit in a 64-bit signed integer.

Constraints:
1 <= k <= 10 5

def smallest integer divisible by k(…):","Given a positive integer k, you need to find the length of the smallest positive integer n such that n is divisible by k, and n only contains the digit 1. Return the length of n. If there is no such n, return -1. Note: n may not fit in a 64-bit signed integer.",1 <= k <= 10 5,def smallest integer divisible by k(…):,"Example 1:Input: k = 1 Output: 1 Explanation: The smallest answer is n = 1, which has length 1. 



Example 2: Input: k = 2 Output: -1 Explanation: There is no such positive integer n divisible by 2. 



Example 3: Input: k = 3 Output: 3 Explanation: The smallest answer is n = 111, which has length 3.",[1],1,[2],-1,[3],3,"[[1], [2], [3]]: [1, -1, 3]"
1017,"Can you write python code to solve “Convert to Base -2”?

Given an integer n, return a binary string representing its representation in base -2. Note that the returned string should not have leading zeros unless the string is ""0"".

Constraints:
0 <= n <= 10 9

def convert to base -2(…):","Given an integer n, return a binary string representing its representation in base -2. Note that the returned string should not have leading zeros unless the string is ""0"".",0 <= n <= 10 9,def convert to base -2(…):,"Example 1:Input: n = 2 Output: ""110"" Explantion: (-2) 2 + (-2) 1 = 2 



Example 2: Input: n = 3 Output: ""111"" Explantion: (-2) 2 + (-2) 1 + (-2) 0 = 3 



Example 3: Input: n = 4 Output: ""100"" Explantion: (-2) 2 = 4",[2],"110"" Explantion: (-2) 2 + (-2) 1 = 2",[3],"111"" Explantion: (-2) 2 + (-2) 1 + (-2) 0 = 3",[4],"100"" Explantion: (-2) 2 = 4","[[2], [3], [4]]: [110"" Explantion: (-2) 2 + (-2) 1 = 2, 111"" Explantion: (-2) 2 + (-2) 1 + (-2) 0 = 3, 100"" Explantion: (-2) 2 = 4]"
1021,"Can you write python code to solve “Remove Outermost Parentheses”?

A valid parentheses string is either empty """", ""("" + A + "")"", or A + B, where A and B are valid parentheses strings, and + represents string concatenation. For example, """", ""()"", ""(())()"", and ""(()(()))"" are all valid parentheses strings. A valid parentheses string s is primitive if it is nonempty, and there does not exist a way to split it into s = A + B, with A and B nonempty valid parentheses strings. Given a valid parentheses string s, consider its primitive decomposition: s = P 1 + P 2 +... + P k, where P i are primitive valid parentheses strings. Return s after removing the outermost parentheses of every primitive string in the primitive decomposition of s.

Constraints:
1 <= s.length <= 10 5 s[i] is either '(' or ')'. s is a valid parentheses string.

def remove outermost parentheses(…):","A valid parentheses string is either empty """", ""("" + A + "")"", or A + B, where A and B are valid parentheses strings, and + represents string concatenation. For example, """", ""()"", ""(())()"", and ""(()(()))"" are all valid parentheses strings. A valid parentheses string s is primitive if it is nonempty, and there does not exist a way to split it into s = A + B, with A and B nonempty valid parentheses strings. Given a valid parentheses string s, consider its primitive decomposition: s = P 1 + P 2 +... + P k, where P i are primitive valid parentheses strings. Return s after removing the outermost parentheses of every primitive string in the primitive decomposition of s.",1 <= s.length <= 10 5 s[i] is either '(' or ')'. s is a valid parentheses string.,def remove outermost parentheses(…):,"Example 1:Input: s = ""(()())(())"" Output: ""()()()"" Explanation: The input string is ""(()())(())"", with primitive decomposition ""(()())"" + ""(())"". After removing outer parentheses of each part, this is ""()()"" + ""()"" = ""()()()"". 



Example 2: Input: s = ""(()())(())(()(()))"" Output: ""()()()()(())"" Explanation: The input string is ""(()())(())(()(()))"", with primitive decomposition ""(()())"" + ""(())"" + ""(()(()))"". After removing outer parentheses of each part, this is ""()()"" + ""()"" + ""()(())"" = ""()()()()(())"". 



Example 3: Input: s = ""()()"" Output: """" Explanation: The input string is ""()()"", with primitive decomposition ""()"" + ""()"". After removing outer parentheses of each part, this is """" + """" = """".","[""(()())(())""]",()()(),"[""(()())(())(()(()))""]",()()()()(()),"[""()()""]",,"[['(()())(())'], ['(()())(())(()(()))'], ['()()']]: [()()(), ()()()()(()), ]"
